,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,6636,Polkadot,DOT,polkadot-new,793,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1469841795.010468,9486588819.737965,,2024-07-17T12:54:00.000Z,6.454156394205951,203192004.1300542,-6.801,0.17137527,2.88198809,5.83766983,4.03849636,-9.51645581,-2.4990096,9280776333.635159,0.3901,9280776333.64,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
14,1975,Chainlink,LINK,chainlink,1817,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-17T12:53:00.000Z,14.342580302520448,343592441.25649685,-10.9978,0.05449547,2.08546307,11.68711719,0.13010781,-11.00331949,8.44293405,8721722658.179405,0.3666,14342580302.52,,2024-07-17T12:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-17 13:55:15.715967
15,1831,Bitcoin Cash,BCH,bitcoin-cash,904,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19734012.5,19734012.5,False,,16,,,,2024-07-17T12:53:00.000Z,380.58502983721445,358563000.9863279,0.4869,0.16615424,-0.50496028,12.58758224,-8.26171591,-21.30570597,-20.44665005,7510469736.120463,0.3157,7992285626.58,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
16,6535,NEAR Protocol,NEAR,near-protocol,426,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1102750969.0,1200785968.0,False,,17,,,,2024-07-17T12:54:00.000Z,6.123256092949112,403925762.5698494,-15.6982,-0.02600952,0.05095857,32.92970933,15.86817005,-23.37763687,8.58271942,6752426589.934788,0.2838,7352719994.88,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
17,3890,Polygon,MATIC,polygon,1416,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",,9897683258.619154,10000000000.0,False,,18,,,,2024-07-17T12:53:00.000Z,0.5516011770208161,253112430.07661173,-10.8232,0.45990693,3.98528882,9.77675629,-7.86252904,-22.66741579,-17.76822737,5459573735.233552,0.2295,5516011770.21,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
18,2,Litecoin,LTC,litecoin,1209,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74759962.3575049,84000000.0,False,,19,,,,2024-07-17T12:54:00.000Z,72.70669412472951,319729977.42736965,-18.7101,0.4609322,1.11645215,10.28899037,-5.94152713,-13.40214802,-9.79372292,5435549715.903401,0.2285,6107362306.48,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
19,3957,UNUS SED LEO,LEO,unus-sed-leo,48,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,925969633.9,985239504.0,False,,20,,,,2024-07-17T12:53:00.000Z,5.865942263940541,828886.72909551,37.8272,0.33595624,0.05570147,0.50855957,2.67722978,-0.58399252,0.08581062,5431684410.619559,0.2283,5779358046.62,,2024-07-17T12:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-07-17 13:55:15.715967
0,1,Bitcoin,BTC,bitcoin,11605,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19726868.0,19726868.0,False,,1,,,,2024-07-17T12:55:00.000Z,64742.19993295496,37619188310.03812,-7.4324,0.02872114,1.67262808,11.60423059,-1.22837609,-3.49752536,4.10805379,1277160832107.0112,53.6892,1359586198592.05,,2024-07-17T12:55:00.000Z,,,,,,2024-07-17 13:56:16.243957
1,1027,Ethereum,ETH,ethereum,9144,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120221218.02997445,120221218.02997445,True,,2,,,,2024-07-17T12:54:00.000Z,3456.536005510891,19013442481.469223,-4.2407,0.20518284,1.37881254,11.53844468,-1.8691741,10.62999008,14.338632,415548968746.98175,17.4653,415548968746.98,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
2,825,Tether USDt,USDT,tether,91763,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,113224555138.6441,117072162581.7876,True,,3,,,,2024-07-17T12:54:00.000Z,1.000161806606693,69885783694.12204,-5.6733,-0.0151478,-0.04966952,0.02912332,0.0873718,-0.03279626,-0.02552705,113242875619.70541,4.7595,117091105631.15,,2024-07-17T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-17 13:56:16.243957
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582066.93925807,147582066.93925807,False,,4,,,,2024-07-17T12:54:00.000Z,576.486572752351,1871800745.6385877,-9.2049,0.15016991,0.8773429,9.60623453,-3.74868547,-0.24042965,6.40594344,85079079969.52094,3.5758,85079079969.52,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
4,5426,Solana,SOL,solana,705,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464175374.38379145,580286891.7144549,True,,5,,,,2024-07-17T12:54:00.000Z,160.88858964676334,2634255758.0590177,-7.5921,-0.01419047,2.78003126,13.67990009,12.23252622,-7.39346272,20.97298422,74680521333.36656,3.1388,93361539598.44,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
5,52,XRP,XRP,xrp,1354,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,6,,,,2024-07-17T12:55:00.000Z,0.6232543041476477,3806049776.0119157,63.6229,1.72139684,14.3450346,42.24570631,23.70691564,19.17169042,26.89153027,34780918020.96787,1.4618,62325430414.76,,2024-07-17T12:55:00.000Z,,,,,,2024-07-17 13:56:16.243957
6,3408,USDC,USDC,usd-coin,21018,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33912630612.87038,33912630612.87038,False,,7,,,,2024-07-17T12:54:00.000Z,0.9998042621533655,7260798582.906121,-7.6188,-0.02567421,-0.03024059,-0.01286953,-0.02307733,-0.03240885,-0.02563931,33905992627.580505,1.4253,33905992627.58,,2024-07-17T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-17 13:56:16.243957
7,11419,Toncoin,TON,toncoin,462,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2512028248.7069774,5109101232.189482,True,,8,3414166606.0,24688711352.46289,,2024-07-17T12:54:00.000Z,7.231255589307024,254148642.995985,-10.8094,0.15303818,-1.78377462,-0.89645591,-7.19181606,12.1221642,18.48013227,18165118313.959465,0.7635,36945216841.61,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
8,74,Dogecoin,DOGE,dogecoin,1025,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145152436383.70526,145152436383.70526,True,,9,,,,2024-07-17T12:55:00.000Z,0.12470231558413188,811213835.1103061,-23.0335,0.42579565,2.03565864,14.61788783,-7.08126669,-19.43343484,-14.65529981,18100844929.72644,0.7608,18100844929.73,,2024-07-17T12:55:00.000Z,,,,,,2024-07-17 13:56:16.243957
9,2010,Cardano,ADA,cardano,1213,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35886546243.486,37048613783.371,False,,10,,,,2024-07-17T12:54:00.000Z,0.4482561912311653,420848823.1196806,-12.5712,0.54477578,3.73187944,16.91196752,10.94148158,-6.64588383,0.47362196,16086366535.546116,0.676,20171528605.4,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
10,1958,TRON,TRX,tron,1001,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87107257679.39662,87107344619.87744,True,,11,71659659264.0,9636453371.791664,,2024-07-17T12:54:00.000Z,0.1344752887575168,311668406.6252294,-30.6451,-0.14022089,0.6610824,3.26918162,15.1154318,8.6586998,24.25488677,11713773629.312283,0.4923,11713785320.66,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
11,5994,Shiba Inu,SHIB,shiba-inu,846,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270743113993.8,589519212467867.4,False,,12,,,,2024-07-17T12:54:00.000Z,1.9247911407454048e-05,479069474.0787292,-33.326,-0.4162067,-0.08538631,16.77343445,-3.12081762,-22.56989696,-12.8037211,11342231058.462765,0.4767,11347013574.57,,2024-07-17T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-17 13:56:16.243957
12,5805,Avalanche,AVAX,avalanche,752,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394688286.06309676,444034656.06309676,False,,13,,,,2024-07-17T12:54:00.000Z,28.182968423237305,446535945.49238,7.644,0.03201606,3.60727234,5.81815805,-1.72728877,-24.42845048,-17.68394609,11123487503.137909,0.4675,20171923546.55,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
13,6636,Polkadot,DOT,polkadot-new,793,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1469841795.010468,9483995536.962523,,2024-07-17T12:55:00.000Z,6.452392066382204,203029228.82098144,-6.9812,0.17870743,3.02982474,5.77157751,4.05618893,-9.5638102,-2.56748976,9278239312.386944,0.39,9278239312.39,,2024-07-17T12:55:00.000Z,,,,,,2024-07-17 13:56:16.243957
14,1975,Chainlink,LINK,chainlink,1817,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-17T12:54:00.000Z,14.344337279408528,343594554.5143001,-10.9975,0.06784416,2.12188546,11.69842179,0.17441675,-10.9858614,8.44138329,8722791075.773132,0.3666,14344337279.41,,2024-07-17T12:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-17 13:56:16.243957
15,1831,Bitcoin Cash,BCH,bitcoin-cash,904,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19734012.5,19734012.5,False,,16,,,,2024-07-17T12:54:00.000Z,380.5628676944775,358468342.3366474,0.4557,0.16029736,-0.49974538,12.57472867,-8.26179087,-21.3036502,-20.45887098,7510032388.118666,0.3156,7991820221.58,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:56:16.243957
